time,open,high,low,close
2026-01-01T00:00:00,58084.2,58084.2,58084.2,58084.2
2026-01-01T01:00:00,61311.1,61311.1,61311.1,61311.1
2026-01-01T02:00:00,61514.7,61514.7,61514.7,61514.7
2026-01-01T03:00:00,61591.4,61591.4,61591.4,61591.4
2026-01-01T04:00:00,61658.6,61658.6,61658.6,61658.6
2026-01-01T05:00:00,61800.5,61800.5,61800.5,61800.5
2026-01-01T06:00:00,62328.1,62328.1,62328.1,62328.1
2026-01-01T07:00:00,62638.6,62638.6,62638.6,62638.6
2026-01-01T08:00:00,63064.7,63064.7,63064.7,63064.7
2026-01-01T09:00:00,63247.2,63247.2,63247.2,63247.2
2026-01-01T10:00:00,63278.9,63278.9,63278.9,63278.9
2026-01-01T11:00:00,63605.5,63605.5,63605.5,63605.5
2026-01-01T12:00:00,63637.0,63637.0,63637.0,63637.0
2026-01-01T13:00:00,63801.3,63801.3,63801.3,63801.3
2026-01-01T14:00:00,64227.0,64227.0,64227.0,64227.0
2026-01-01T15:00:00,64283.0,64283.0,64283.0,64283.0
2026-01-01T16:00:00,64287.7,64287.7,64287.7,64287.7
2026-01-01T17:00:00,64398.0,64398.0,64398.0,64398.0
2026-01-01T18:00:00,64484.8,64484.8,64484.8,64484.8
2026-01-01T19:00:00,64675.0,64675.0,64675.0,64675.0
2026-01-01T20:00:00,64729.0,64729.0,64729.0,64729.0
2026-01-01T21:00:00,65274.7,65274.7,65274.7,65274.7
2026-01-01T22:00:00,65828.8,65828.8,65828.8,65828.8
2026-01-01T23:00:00,66011.3,66011.3,66011.3,66011.3
2026-01-01T24:00:00,66747.9,66747.9,66747.9,66747.9
2026-01-01T25:00:00,67484.6,67484.6,67484.6,67484.6
2026-01-01T26:00:00,67764.9,67764.9,67764.9,67764.9
2026-01-01T27:00:00,70991.8,70991.8,70991.8,70991.8
